OU Size: 4x4
layer,time_s,energy_J
2,1.718766e-02,1.005699e-04
3,8.593832e-03,5.028493e-05
4,1.718766e-02,1.005699e-04
5,8.593832e-03,5.028493e-05
6,1.718766e-02,1.005699e-04
7,1.718766e-02,1.005699e-04
8,8.593832e-03,5.028493e-05
9,9.727317e-03,1.005699e-04
10,1.718766e-02,1.005699e-04
11,2.801397e-03,2.514246e-05
12,4.296916e-03,2.514246e-05
13,3.832827e-03,2.514246e-05
14,3.711083e-06,5.587233e-08
15,4.256625e-05,9.121982e-07
16,2.781567e-05,2.227046e-07
Total,,,
Latency (max),1.718766e-02,
Energy (sum),,8.356063e-04,
EDP, , ,1.436212e-05

OU Size: 4x120
layer,time_s,energy_J
1,7.788160e-04,4.860525e-06
2,1.661474e-02,1.036912e-04
3,8.307371e-03,5.184560e-05
4,1.661474e-02,1.036912e-04
5,8.307371e-03,5.184560e-05
6,1.661474e-02,1.036912e-04
7,1.661474e-02,1.036912e-04
8,8.307371e-03,5.184560e-05
9,9.403073e-03,1.036912e-04
10,1.661474e-02,1.036912e-04
11,2.708017e-03,2.592280e-05
12,4.153685e-03,2.592280e-05
13,3.705066e-03,2.592280e-05
14,3.587380e-06,5.760642e-08
15,4.114737e-05,9.405098e-07
16,2.688848e-05,2.296166e-07
Total,,,
Latency (max),1.661474e-02,
Energy (sum),,8.615407e-04,
EDP, , ,1.431428e-05

OU Size: 4x124
layer,time_s,energy_J
1,7.536929e-04,5.006838e-06
2,1.607878e-02,1.068125e-04
3,8.039391e-03,5.340627e-05
4,1.607878e-02,1.068125e-04
5,8.039391e-03,5.340627e-05
6,1.607878e-02,1.068125e-04
7,1.607878e-02,1.068125e-04
8,8.039391e-03,5.340627e-05
9,9.099748e-03,1.068125e-04
10,1.607878e-02,1.068125e-04
11,2.620662e-03,2.670314e-05
12,4.019696e-03,2.670314e-05
13,3.585548e-03,2.670314e-05
14,3.471658e-06,5.934051e-08
15,3.982004e-05,9.688213e-07
16,2.602111e-05,2.365286e-07
Total,,,
Latency (max),1.607878e-02,
Energy (sum),,8.874751e-04,
EDP, , ,1.426952e-05

OU Size: 4x128
layer,time_s,energy_J
1,7.301400e-04,5.153151e-06
2,1.557632e-02,1.099339e-04
3,7.788160e-03,5.496695e-05
4,1.557632e-02,1.099339e-04
5,7.788160e-03,5.496695e-05
6,1.557632e-02,1.099339e-04
7,1.557632e-02,1.099339e-04
8,7.788160e-03,5.496695e-05
9,8.815381e-03,1.099339e-04
10,1.557632e-02,1.099339e-04
11,2.538766e-03,2.748347e-05
12,3.894080e-03,2.748347e-05
13,3.473499e-03,2.748347e-05
14,3.363169e-06,6.107460e-08
15,3.857566e-05,9.971329e-07
16,2.520795e-05,2.434406e-07
Total,,,
Latency (max),1.557632e-02,
Energy (sum),,9.134095e-04,
EDP, , ,1.422756e-05

OU Size: 8x4
layer,time_s,energy_J
1,1.168224e-02,1.088570e-06
2,2.492211e-01,2.322283e-05
3,1.246106e-01,1.161142e-05
4,2.492211e-01,2.322283e-05
5,1.246106e-01,1.161142e-05
6,2.492211e-01,2.322283e-05
7,2.492211e-01,2.322283e-05
8,1.246106e-01,1.161142e-05
9,1.410461e-01,2.322283e-05
10,2.492211e-01,2.322283e-05
11,4.062026e-02,5.805708e-06
12,6.230528e-02,5.805708e-06
13,5.557599e-02,5.805708e-06
14,5.381070e-05,1.290162e-08
15,6.172106e-04,2.106379e-07
16,4.033272e-04,5.142528e-08
Total,,,
Latency (max),2.492211e-01,
Energy (sum),,1.929519e-04,
EDP, , ,4.808769e-05

OU Size: 8x8
layer,time_s,energy_J
1,5.841120e-03,1.234884e-06
2,1.246106e-01,2.634418e-05
3,6.230528e-02,1.317209e-05
4,1.246106e-01,2.634418e-05
5,6.230528e-02,1.317209e-05
6,1.246106e-01,2.634418e-05
7,1.246106e-01,2.634418e-05
8,6.230528e-02,1.317209e-05
9,7.052305e-02,2.634418e-05
10,1.246106e-01,2.634418e-05
11,2.031013e-02,6.586046e-06
12,3.115264e-02,6.586046e-06
13,2.778800e-02,6.586046e-06
14,2.690535e-05,1.463571e-08
15,3.086053e-04,2.389495e-07
16,2.016636e-04,5.833728e-08
Total,,,
Latency (max),1.246106e-01,
Energy (sum),,2.188863e-04,
EDP, , ,2.727555e-05

OU Size: 8x12
layer,time_s,energy_J
