Rows,Cols,Latency,Energy,EDP
56,68,2.652774e-04,6.006334e-03,2.442303e-04
56,72,2.505398e-04,6.058563e-03,2.197417e-04
56,76,2.373535e-04,6.110792e-03,1.989199e-04
56,80,2.254858e-04,6.163021e-03,1.810596e-04
56,84,2.147484e-04,6.215250e-03,1.656181e-04
56,88,2.049871e-04,6.267479e-03,1.521722e-04
56,92,1.960746e-04,6.319708e-03,1.403878e-04
56,96,1.879048e-04,6.371937e-03,1.299981e-04
56,100,1.803886e-04,6.424166e-03,1.207882e-04
56,104,1.734506e-04,6.476395e-03,1.125834e-04
56,108,1.670265e-04,6.528624e-03,1.052403e-04
56,112,1.610613e-04,6.580853e-03,9.864021e-05
56,116,1.555074e-04,6.633082e-03,9.268453e-05
56,120,1.503239e-04,6.685311e-03,8.729050e-05
56,124,1.454747e-04,6.737540e-03,8.238836e-05
56,128,1.409286e-04,6.789769e-03,7.791892e-05
60,4,4.209068e-03,5.536273e-03,5.667336e-02
60,8,2.104534e-03,5.588502e-03,1.430200e-02
60,12,1.403023e-03,5.640731e-03,6.415852e-03
60,16,1.052267e-03,5.692960e-03,3.642332e-03
60,20,8.418136e-04,5.745189e-03,2.352479e-03
60,24,7.015113e-04,5.797418e-03,1.648517e-03
60,28,6.012954e-04,5.849647e-03,1.222067e-03
60,32,5.261335e-04,5.901876e-03,9.439990e-04
60,36,4.676742e-04,5.954105e-03,7.524764e-04
60,40,4.209068e-04,6.006334e-03,6.148525e-04
60,44,3.826425e-04,6.058563e-03,5.125612e-04
60,48,3.507557e-04,6.110792e-03,4.344066e-04
60,52,3.237745e-04,6.163021e-03,3.733089e-04
60,56,3.006477e-04,6.215250e-03,3.246115e-04
60,60,2.806045e-04,6.267479e-03,2.851490e-04
60,64,2.630667e-04,6.319708e-03,2.527077e-04
60,68,2.475922e-04,6.371937e-03,2.257018e-04
60,72,2.338371e-04,6.424166e-03,2.029706e-04
60,76,2.215299e-04,6.476395e-03,1.836486e-04
60,80,2.104534e-04,6.528624e-03,1.670795e-04
60,84,2.004318e-04,6.580853e-03,1.527584e-04
60,88,1.913213e-04,6.633082e-03,1.402915e-04
60,92,1.830030e-04,6.685311e-03,1.293682e-04
60,96,1.753778e-04,6.737540e-03,1.197403e-04
60,100,1.683627e-04,6.789769e-03,1.112081e-04
60,104,1.618872e-04,6.841998e-03,1.036090e-04
60,108,1.558914e-04,6.894227e-03,9.680983e-05
60,112,1.503239e-04,6.946456e-03,9.070028e-05
60,116,1.451403e-04,6.998685e-03,8.518868e-05
60,120,1.403023e-04,7.050914e-03,8.019815e-05
60,124,1.357764e-04,7.103143e-03,7.566388e-05
60,128,1.315334e-04,7.155372e-03,7.153090e-05
64,4,3.946001e-03,5.901876e-03,5.309994e-02
64,8,1.973001e-03,5.954105e-03,1.339246e-02
64,12,1.315334e-03,6.006334e-03,6.004419e-03
64,16,9.865003e-04,6.058563e-03,3.406855e-03
64,20,7.892002e-04,6.110792e-03,2.199184e-03
64,24,6.576669e-04,6.163021e-03,1.540264e-03
64,28,5.637145e-04,6.215250e-03,1.141212e-03
64,32,4.932502e-04,6.267479e-03,8.810831e-04
64,36,4.384446e-04,6.319708e-03,7.019658e-04
64,40,3.946001e-04,6.371937e-03,5.732914e-04
64,44,3.587274e-04,6.424166e-03,4.776781e-04
64,48,3.288334e-04,6.476395e-03,4.046456e-04
64,52,3.035386e-04,6.528624e-03,3.475673e-04
64,56,2.818572e-04,6.580853e-03,3.020857e-04
64,60,2.630667e-04,6.633082e-03,2.652387e-04
